Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1740 32604 2 188 678 433.91 441.02 86.94 5.35 0.0211 400 1 417448.031250 1
1740 32604 2 200 694 424.04 434.21 85.65 5.35 0.0211 400 1 417448.031250 1
1740 32604 2 200 694 424.04 434.21 85.65 5.35 0.0223 400 1 415668.750000 1
1740 32595 2 201 676 432.16 431.13 87.09 5.35 0.0223 400 1 415668.750000 1
1740 32595 2 201 676 432.16 431.13 87.09 5.35 0.0241 400 1 414407.125000 1
1741 32593 2 195 687 424.47 433.03 86.18 5.35 0.0241 400 1 414407.125000 1
1741 32593 2 195 687 424.47 433.03 86.18 5.35 0.0253 400 1 414407.125000 1
1740 32592 2 191 687 424.47 433.03 86.18 5.35 0.0253 400 1 413403.312500 1
1740 32592 2 191 682 426.49 425.77 86.65 5.35 0.0271 401 1 413403.312500 1
1739 32589 2 191 682 426.49 425.77 86.65 5.35 0.0271 401 1 413653.812500 1
1739 32589 2 210 705 419.19 422.90 84.76 5.35 0.0271 401 1 413653.812500 1
1739 32589 2 210 705 419.19 422.90 84.76 5.35 0.0284 401 1 411162.406250 1
1738 32580 2 184 702 420.18 418.76 85.02 5.35 0.0284 401 1 411162.406250 1
1738 32580 2 184 702 420.18 418.76 85.02 5.35 0.0305 401 1 410914.937500 1
1739 32580 3 206 701 427.21 418.76 85.08 5.35 0.0305 401 1 410914.937500 1
1739 32580 3 206 701 427.21 418.76 85.08 5.35 0.0320 401 1 410914.937500 1
1738 32573 2 178 701 427.21 418.76 85.08 5.35 0.0320 401 1 412155.375000 1
1738 32573 2 178 665 424.33 415.24 88.03 5.35 0.0339 401 1 412155.375000 1
1738 32570 2 178 665 424.33 415.24 88.03 5.35 0.0339 401 1 410420.843750 1
