Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
37,1 365 823 179,07 241,12 49,45 25,14 4,77 0,6613 419  2 34399,355469 1
37,13 318 807 174,05 239,09 51,48 25,14 4,77 0,6747 419  2 34510,648437 1
37,16 340 815 178,47 241,61 50,5 25,14 4,77 0,6868 419  2 34261,242187 1
37,17 331 812 176,31 235,55 50,91 25,14 4,77 0,6981 419  2 34015,414062 1
37,19 378 827 176,55 237,56 48,99 25,14 4,77 0,7179 419  3 34042,554687 1
29,27 83 500 221,03 371,36 69,75 25,14 4,77 0,0187 400  1 40467,910156 1
29,29 75 506 220,21 363,89 69,35 25,14 4,77 0,0214 400  1 40314,960937 1
30,18 163 644 210,66 334,93 60,75 25,14 4,77 0,0411 400  1 39457,460937 1
31,32 331 812 195,28 303,11 50,84 25,14 4,77 0,0844 400  1 38917,605469 1
32,26 359 812 195,22 291,73 50,81 25,14 4,77 0,1357 401  1 38565,832031 1
33,19 360 822 188,97 281,84 49,64 25,14 4,77 0,1869 402  1 38152,011719 1
33,84 369 824 185,93 280,31 49,3 25,14 4,77 0,2826 406  2 37948,414062 1
34,43 387 831 183,37 269,43 48,57 25,14 4,77 0,3257 410  2 37713,613281 1
34,96 372 825 184,3 270,53 49,19 25,14 4,77 0,3661 412  2 37155,296875 1
34,96 392 831 185,3 265,99 48,49 25,14 4,77 0,4034 414  2 36898,242187 1
35,73 376 827 177,87 264,37 49,02 25,14 4,77 0,4375 415  2 36519,257812 1
36,08 384 829 178,89 259,23 48,74 25,14 4,77 0,4691 416  2 36456,851562 1
36,27 355 820 183,86 261,44 49,86 25,14 4,77 0,4983 417  2 36147,980469 1
36,49 383 822 175,47 249,0 49,64 25,14 4,77 0,5253 418  2 35965,160156 1
36,69 383 829 178,47 250,61 48,75 25,14 4,77 0,5723 418  2 35904,628906 1
36,81 399 834 181,39 253,25 48,16 25,14 4,77 0,5931 418  2 35398,230469 1
36,93 369 824 177,32 247,82 49,34 25,14 4,77 0,6123 419  2 35251,996094 1
37,06 359 821 176,49 246,4 49,72 25,14 4,77 0,6295 419  2 35049,289062 1
37,13 361 822 176,55 247,65 49,64 25,14 4,77 0,6456 419  2 34963,125 1
37,15 371 814 181,21 242,68 50,69 25,14 4,77 0,6606 419  2 34877,382812 1
37,22 342 816 178,71 243,99 50,43 25,14 4,77 0,674 419  2 34792,0625 1
37,23 370 825 173,58 239,17 49,29 25,14 4,77 0,6864 419  2 34678,949219 1
37,23 344 816 174,64 243,0 50,36 25,14 4,77 0,7081 419  2 34343,976562 1
37,23 349 811 169,98 239,66 51,0 25,14 4,77 0,7176 419  3 34343,976562 1
29,34 77 508 210,73 379,49 69,23 25,14 4,78 0,0185 400  1 40973,113281 1
29,29 77 509 219,77 379,62 69,16 25,14 4,78 0,0205 400  1 40467,910156 1
29,87 244 745 191,03 323,57 53,76 25,14 4,78 0,0392 400  1 40163,164062 1
31,03 306 807 194,36 310,06 51,55 25,14 4,78 0,0817 400  1 39640,753906 1
32,02 384 830 191,94 295,51 48,7 25,14 4,78 0,1323 401  1 38988,730469 1
33,02 367 824 187,32 292,53 49,37 25,14 4,78 0,2341 404  2 38776,128906 1
33,81 390 831 190,71 286,26 48,51 25,14 4,78 0,2812 406  2 38049,941406 1
34,44 400 835 185,68 276,36 48,12 25,14 4,78 0,3252 410  2 37881,03125 1
35,01 395 832 183,43 269,07 48,43 25,14 4,78 0,3655 412  2 37547,667969 1
35,8 394 833 186,94 268,25 48,36 25,14 4,78 0,403 414  2 37187,679687 1
36,05 397 833 182,44 263,66 48,33 25,14 4,78 0,4381 415  2 36994,21875 1
36,35 392 832 183,55 256,79 48,44 25,14 4,78 0,4704 416  2 36707,773437 1
36,35 394 834 179,8 256,44 48,16 25,14 4,78 0,5003 417  2 36613,273437 1
36,58 395 833 180,72 255,57 48,33 25,14 4,78 0,5526 418  2 36363,636719 1
36,7 377 827 184,05 251,2 49,02 25,14 4,78 0,5753 418  2 36178,632812 1
36,9 377 827 178,65 249,51 49,02 25,14 4,78 0,5965 418  2 35664,53125 1
37,04 362 822 172,0 248,66 49,62 25,14 4,78 0,6154 419  2 35634,742187 1
37,16 353 819 174,64 250,78 49,99 25,14 4,78 0,6329 419  2 35457,0625 1
37,29 366 824 180,23 242,18 49,45 25,14 4,78 0,6492 419  2 35457,0625 1
37,32 357 821 171,54 242,84 49,82 25,14 4,78 0,6641 419  2 35193,839844 1
37,31 354 820 175,65 245,48 49,94 25,14 4,78 0,6779 419  2 34934,496094 1
37,36 361 817 174,88 241,61 50,26 25,14 4,78 0,6906 419  2 34991,796875 1
37,34 352 819 169,35 243,5 50,06 25,14 4,78 0,7125 419  3 34877,382812 1
37,4 354 820 176,97 237,72 49,96 25,14 4,78 0,7222 419  3 34735,414062 1
29,37 78 511 227,87 377,57 69,09 25,14 4,78 0,0186 400  1 41531,472656 1
29,39 126 486 220,51 379,74 70,77 25,14 4,78 0,0194 400  1 41131,105469 1
29,58 247 748 198,95 322,48 55,11 25,14 4,78 0,0364 400  1 40353,089844 1
30,68 316 807 195,81 316,53 51,55 25,14 4,78 0,0777 400  1 39862,972656 1
31,84 351 818 193,77 299,23 50,06 25,14 4,78 0,1833 402  1 39640,753906 1
32,87 365 823 185,61 293,62 49,47 25,14 4,78 0,2341 404  2 38988,730469 1
33,65 388 824 186,56 286,84 49,4 25,14 4,78 0,2812 406  2 38635,675781 1
34,27 370 825 185,61 280,88 49,27 25,14 4,78 0,3262 409  2 38016,039062 1
34,81 383 829 189,68 272,64 48,79 25,14 4,78 0,3674 412  2 37948,414062 1
35,72 383 829 184,86 269,7 48,77 25,14 4,78 0,406 414  2 37746,976562 1
36,04 397 840 182,19 267,97 47,58 25,14 4,78 0,4416 415  2 37252,621094 1
36,36 379 828 181,7 260,64 48,95 25,14 4,78 0,4742 416  2 37122,96875 1
36,57 384 829 183,93 255,14 48,75 25,14 4,78 0,504 417  2 36962,171875 1
36,8 374 826 174,53 259,76 49,14 25,14 4,78 0,5564 418  2 36771,042969 1
37,0 379 828 180,11 254,11 48,95 25,14 4,78 0,5791 418  2 36425,726562 1
37,06 395 829 179,99 249,59 48,85 25,14 4,78 0,6002 418  2 36270,898437 1
37,06 376 827 180,17 249,59 49,05 25,14 4,78 0,6195 418  2 36025,894531 1
37,26 356 820 181,21 248,91 49,87 25,14 4,78 0,6373 419  2 35874,441406 1
37,34 371 828 178,89 249,17 48,95 25,14 4,78 0,6536 419  2 35724,253906 1
37,47 384 818 173,94 247,91 50,16 25,14 4,78 0,6683 419  2 35486,554687 1
37,45 346 817 175,65 246,4 50,3 25,14 4,78 0,6822 419  2 35427,621094 1
37,46 343 816 172,53 243,75 50,45 25,14 4,78 0,7061 419  2 35193,839844 1
37,45 359 821 176,97 245,48 49,75 25,14 4,78 0,7165 419  3 35049,289062 1
37,48 351 818 176,13 249,0 50,11 25,14 4,78 0,7261 419  3 34792,0625 1
29,41 82 518 226,03 383,36 68,65 25,14 4,79 0,0189 400  1 41693,8125 1
29,42 133 601 207,13 361,44 63,36 25,14 4,79 0,0196 400  1 41491,085937 1
30,28 221 719 208,96 330,43 56,68 25,14 4,79 0,0361 400  1 40738,382812 1
31,51 339 814 191,16 313,44 50,55 25,14 4,79 0,0781 400  1 40314,960937 1
32,56 354 824 193,18 304,14 49,34 25,14 4,79 0,1831 402  1 40012,503906 1
32,56 354 820 194,03 301,17 49,92 25,14 4,79 0,2341 404  2 39348,292969 1
33,41 380 828 189,74 287,13 48,89 25,14 4,79 0,282 406  2 38917,605469 1
34,14 427 843 191,62 281,84 47,18 25,14 4,79 0,3268 409  2 38288,960937 1
35,24 384 829 187,26 277,67 48,75 25,14 4,79 0,3686 412  2 38016,039062 1
35,7 401 832 183,12 272,92 48,43 25,14 4,79 0,4072 414  2 37948,414062 1
36,04 397 834 186,94 262,85 48,26 25,14 4,79 0,4428 415  2 37613,871094 1
36,33 399 834 183,62 265,18 48,2 25,14 4,79 0,4756 416  2 37317,785156 1
36,62 407 837 183,0 260,99 47,92 25,14 4,79 0,5331 417  2 37187,679687 1
36,81 376 825 176,61 263,39 49,34 25,14 4,79 0,5583 418  2 37155,296875 1
36,95 406 837 180,17 256,7 47,94 25,14 4,79 0,5812 418  2 36519,257812 1
