Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1472 30056 4 1294 1059 99,91 56,93 48,2 5,4 1,6144 512 3 297242,375 1
1472 30056 4 1294 1065 99,21 56,24 47,81 5,4 1,6175 514 3 297242,375 1
1472 30055 4 1294 1065 99,21 56,24 47,81 5,4 1,6175 514 3 293662,1875 1
1472 30055 4 1264 1064 100,15 55,92 47,86 5,4 1,6175 514 3 293662,1875 1
1472 30055 4 1264 1064 100,15 55,92 47,86 5,4 1,6199 516 3 297242,375 1
1472 30053 4 1181 1045 97,91 56,22 49,1 5,4 1,6199 516 3 297242,375 1
1472 30053 4 1181 1045 97,91 56,22 49,1 5,4 1,6225 517 3 294422,09375 1
1471 30061 4 1245 1060 97,77 55,71 48,13 5,4 1,6225 517 3 294422,09375 1
1471 30061 4 1245 1060 97,77 55,71 48,13 5,4 1,6246 519 3 294422,09375 1
1470 30061 4 1259 1060 97,77 55,71 48,13 5,4 1,6246 519 3 295185,9375 1
1470 30061 4 1259 1058 95,97 55,54 48,26 5,4 1,6271 520 3 295185,9375 1
1470 30058 4 1259 1058 95,97 55,54 48,26 5,4 1,6271 520 3 294676,25 1
1470 30058 4 1217 1053 96,39 55,71 48,56 5,4 1,6271 520 3 294676,25 1
1470 30058 4 1217 1053 96,39 55,71 48,56 5,4 1,6288 522 3 293915,03125 1
1471 30059 4 1195 1048 97,57 55,8 48,89 5,4 1,6288 522 3 293915,03125 1
1471 30059 4 1195 1048 97,57 55,8 48,89 5,4 1,6308 523 3 292906,1875 1
1470 30061 4 1225 1055 100,05 56,11 48,43 5,4 1,6308 523 3 292906,1875 1
1470 30061 4 1225 1055 100,05 56,11 48,43 5,4 1,6325 524 3 292906,1875 1
1471 30065 4 1238 1055 100,05 56,11 48,43 5,4 1,6325 524 3 293662,1875 1
1471 30065 4 1238 1058 99,01 55,52 48,23 5,4 1,6344 526 3 293662,1875 1
1470 30064 4 1238 1058 99,01 55,52 48,23 5,4 1,6344 526 3 294168,34375 1
1470 30064 4 1294 1071 99,91 56,87 47,42 5,4 1,6344 526 3 294168,34375 1
1470 30064 4 1294 1071 99,91 56,87 47,42 5,4 1,6357 527 3 293662,1875 1
1471 30072 4 1219 1054 98,34 56,13 48,52 5,4 1,6357 527 3 293662,1875 1
1471 30072 4 1219 1054 98,34 56,13 48,52 5,4 1,6373 528 3 294676,25 1
1471 30074 4 1168 1042 101,17 56,18 49,32 5,4 1,6373 528 3 294676,25 1
